Amount,hour,day_of_week,is_night,card_txn_count_so_far,card_avg_amount_so_far,amount_vs_card_avg,true_label,proba,risk_tier
132.25,19,0,0,0,132.25,1.0,0,0.20091134,low_risk_log_only
15.0,16,6,0,0,15.0,1.0,0,0.00010642359,low_risk_log_only
30.0,12,4,0,0,30.0,1.0,0,0.06734671,low_risk_log_only
78.4,17,3,0,0,78.4,1.0,0,0.19614378,low_risk_log_only
23.0,16,0,0,0,23.0,1.0,0,0.031477965,low_risk_log_only
35.0,16,4,0,0,35.0,1.0,0,0.20403825,low_risk_log_only
190.4,1,6,1,0,190.4,1.0,0,0.4853751,medium_risk_human_review
92.0,6,3,0,0,92.0,1.0,0,0.13190596,low_risk_log_only
10.0,11,1,0,1,132.0,0.07575757575757576,0,0.050792426,low_risk_log_only
35.01,0,4,1,0,35.01,1.0,0,0.24088421,low_risk_log_only
145.6,23,5,1,0,145.6,1.0,0,0.2730159,low_risk_log_only
154.0,18,4,0,0,154.0,1.0,0,0.106324375,low_risk_log_only
121.0,14,3,0,0,121.0,1.0,0,0.18774818,low_risk_log_only
168.0,23,2,1,0,168.0,1.0,0,0.5777116,medium_risk_human_review
27.5,12,3,0,0,27.5,1.0,0,0.064026274,low_risk_log_only
264.0,21,0,0,0,264.0,1.0,0,0.15024166,low_risk_log_only
30.0,13,5,0,0,30.0,1.0,0,0.008002446,low_risk_log_only
77.0,17,3,0,1,112.0,0.6875,0,0.44242692,low_risk_log_only
572.0,20,4,0,0,572.0,1.0,0,0.3032071,low_risk_log_only
145.6,17,4,0,0,145.6,1.0,0,0.14156519,low_risk_log_only
112.0,22,0,0,0,112.0,1.0,0,0.31271002,low_risk_log_only
88.0,19,2,0,0,88.0,1.0,0,0.06514684,low_risk_log_only
121.0,18,4,0,0,121.0,1.0,0,0.2360067,low_risk_log_only
59.99,15,4,0,0,59.99,1.0,0,0.53285587,medium_risk_human_review
138.0,14,4,0,0,138.0,1.0,0,0.1667984,low_risk_log_only
69.0,18,1,0,0,69.0,1.0,0,0.17405652,low_risk_log_only
39.07,16,1,0,5,46.656,0.8374056927297668,1,0.95557284,high_risk_auto_flag
46.0,14,2,0,0,46.0,1.0,0,0.345005,low_risk_log_only
69.0,20,0,0,0,69.0,1.0,0,0.1877457,low_risk_log_only
33.0,17,5,0,0,33.0,1.0,0,0.030015655,low_risk_log_only
112.0,19,6,0,0,112.0,1.0,0,0.069914795,low_risk_log_only
112.0,13,0,0,0,112.0,1.0,0,0.10475311,low_risk_log_only
77.0,0,2,1,1,77.0,1.0,0,0.5534793,medium_risk_human_review
77.0,17,4,0,0,77.0,1.0,0,0.30663517,low_risk_log_only
